,100 (1),125 (2),150 (3),175 (4),200 (5),Max
Deltoid Maximum Descent,83,82,84,80,88,82
Deltoid Maximum Descent SD,27,28,22,32,33,13
Deltoid Mean Descent,43,44,44,41,45,46
Deltoid Mean Descent SD,15,15,13,15,14,11
Deltoid Max Time Descent,48.2,52.4,50.1,42.4,48.6,55.9
Deltoid Max Time Descent SD,15.6,23.8,20.1,17.7,18,14.9
Pectoralis Maximum Descent,136.5,137.5,129.1,143,158.5,163.9
Pectoralis Maximum Descent SD,26.2,33.9,54.5,45.6,52,40.9
Pectoralis Mean Descent,35,35,34,33,37,39
Pectoralis Mean Descent SD,10,9,15,14,12,7
Pectoralis Max Time Descent,78,75,72,73,84,84
Pectoralis Max Time Descent SD,18,16,29,38,37,14
Tricep Maximum Descent,57,52,60,61,48,64
Tricep Maximum Descent SD,13,14,23,17,9,13
Tricep Mean Descent,29,28,29,32,26,34
Tricep Mean Descent SD,8,7,8,9,5,7
Tricep Max Time Descent,79.5,69.7,70.6,69.1,72.7,78.2
Tricep Max Time Descent SD,17,18.5,13.1,17.3,17.1,14.3
Deltoid Maximum Lift,94,95,90,87,84,100
Deltoid Maximum Lift SD,33,46,33,35,25,0
Deltoid Mean Lift,49,47,52,45,51,57
Deltoid Mean Lift SD,11,15,19,17,16,4
Deltoid Maximum Time Lift,46.8,48.2,51,45.2,48.7,54.8
Deltoid Maximum Time Lift SD,15.9,17.2,21.6,24.3,19.6,17.1
Pectoralis Maximum Lift,83,82,78,74,76,100
Pectoralis Maximum Lift SD,14,16,19,24,30,0
Pectoralis Mean Lift,37,39,38,38,40,55
Pectoralis Mean Lift SD,9,8,11,15,9,8
Pectoralis Max Time Lift,12.7,24.9,27.9,30.8,23.2,34
Pectoralis Max Time Lift SD,8.8,13.8,17.9,25.9,15.4,18.4
Tricep Maximum Lift,70,73,81,81,63,100
Tricep Maximum Lift SD,16,26,36,38,14,0
Tricep Mean Lift,42,42,49,48,39,57
Tricep Mean Lift SD,10,14,18,16,10,6
Tricep Max Time Lift ,7.4,8.9,14.7,10.1,14.3,13.3
Tricep Max Time Lift SD,3.6,4.8,15.1,7.5,8,7